2024-12-31 17:45:21 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:21 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:21 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:21 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:26 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 403 0
2024-12-31 17:45:26 - ERROR - Error fetching poem from API: 403 Client Error: Forbidden for url: https://v2.jinrishici.com/one.json
2024-12-31 17:45:27 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:27 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:27 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:27 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:27 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:27 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:27 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:27 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:27 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:27 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:32 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 403 0
2024-12-31 17:45:32 - ERROR - Error fetching poem from API: 403 Client Error: Forbidden for url: https://v2.jinrishici.com/one.json
2024-12-31 17:45:32 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:32 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:32 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:32 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:33 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:33 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:33 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:33 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:33 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:33 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:38 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 403 0
2024-12-31 17:45:38 - ERROR - Error fetching poem from API: 403 Client Error: Forbidden for url: https://v2.jinrishici.com/one.json
2024-12-31 17:45:38 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:38 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:38 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:38 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:38 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:38 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:39 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:39 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:39 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:39 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:44 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 403 0
2024-12-31 17:45:44 - ERROR - Error fetching poem from API: 403 Client Error: Forbidden for url: https://v2.jinrishici.com/one.json
2024-12-31 17:45:44 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:44 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:44 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:44 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:44 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:44 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:44 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:44 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:44 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:44 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:50 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 403 0
2024-12-31 17:45:50 - ERROR - Error fetching poem from API: 403 Client Error: Forbidden for url: https://v2.jinrishici.com/one.json
2024-12-31 17:45:50 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:50 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:50 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:50 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:50 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:50 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:50 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:50 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:50 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:50 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:55 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 403 0
2024-12-31 17:45:55 - ERROR - Error fetching poem from API: 403 Client Error: Forbidden for url: https://v2.jinrishici.com/one.json
2024-12-31 17:45:56 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:56 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:45:56 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:45:56 - DEBUG - Skipping duplicate poem: 春江花月夜
